Name,images,target
LEVOTHYROXINE SODIUM,1023.jpg,0
LEVOTHYROXINE SODIUM,1041.jpg,0
LEVOTHYROXINE SODIUM,1047.jpg,0
LEVOTHYROXINE SODIUM,1138.jpg,0
LEVOTHYROXINE SODIUM,1188.jpg,0
LEVOTHYROXINE SODIUM,1214.jpg,0
LEVOTHYROXINE SODIUM,1320.jpg,0
LEVOTHYROXINE SODIUM,1346.jpg,0
LEVOTHYROXINE SODIUM,1375.jpg,0
LEVOTHYROXINE SODIUM,1429.jpg,0
LEVOTHYROXINE SODIUM,1486.jpg,0
LEVOTHYROXINE SODIUM,1577.jpg,0
LEVOTHYROXINE SODIUM,1669.jpg,0
LEVOTHYROXINE SODIUM,1688.jpg,0
LEVOTHYROXINE SODIUM,1730.jpg,0
LEVOTHYROXINE SODIUM,1835.jpg,0
LEVOTHYROXINE SODIUM,1861.jpg,0
LEVOTHYROXINE SODIUM,1992.jpg,0
LEVOTHYROXINE SODIUM,1998.jpg,0
LEVOTHYROXINE SODIUM,2009.jpg,0
LEVOTHYROXINE SODIUM,21.jpg,0
LEVOTHYROXINE SODIUM,2126.jpg,0
LEVOTHYROXINE SODIUM,2128.jpg,0
LEVOTHYROXINE SODIUM,2149.jpg,0
LEVOTHYROXINE SODIUM,2150.jpg,0
LEVOTHYROXINE SODIUM,2207.jpg,0
LEVOTHYROXINE SODIUM,2223.jpg,0
LEVOTHYROXINE SODIUM,2240.jpg,0
LEVOTHYROXINE SODIUM,2242.jpg,0
LEVOTHYROXINE SODIUM,2251.jpg,0
LEVOTHYROXINE SODIUM,234.jpg,0
LEVOTHYROXINE SODIUM,2366.jpg,0
LEVOTHYROXINE SODIUM,2397.jpg,0
LEVOTHYROXINE SODIUM,264.jpg,0
LEVOTHYROXINE SODIUM,2756.jpg,0
LEVOTHYROXINE SODIUM,2917.jpg,0
LEVOTHYROXINE SODIUM,2998.jpg,0
LEVOTHYROXINE SODIUM,302.jpg,0
LEVOTHYROXINE SODIUM,3050.jpg,0
LEVOTHYROXINE SODIUM,317.jpg,0
LEVOTHYROXINE SODIUM,3208.jpg,0
LEVOTHYROXINE SODIUM,3417.jpg,0
LEVOTHYROXINE SODIUM,3533.jpg,0
LEVOTHYROXINE SODIUM,3569.jpg,0
LEVOTHYROXINE SODIUM,3646.jpg,0
LEVOTHYROXINE SODIUM,3661.jpg,0
LEVOTHYROXINE SODIUM,3715.jpg,0
LEVOTHYROXINE SODIUM,3841.jpg,0
LEVOTHYROXINE SODIUM,3898.jpg,0
LEVOTHYROXINE SODIUM,3914.jpg,0
LEVOTHYROXINE SODIUM,3944.jpg,0
LEVOTHYROXINE SODIUM,4092.jpg,0
LEVOTHYROXINE SODIUM,4126.jpg,0
LEVOTHYROXINE SODIUM,4151.jpg,0
LEVOTHYROXINE SODIUM,4213.jpg,0
LEVOTHYROXINE SODIUM,4240.jpg,0
LEVOTHYROXINE SODIUM,4249.jpg,0
LEVOTHYROXINE SODIUM,425.jpg,0
LEVOTHYROXINE SODIUM,4280.jpg,0
LEVOTHYROXINE SODIUM,438.jpg,0
LEVOTHYROXINE SODIUM,4441.jpg,0
LEVOTHYROXINE SODIUM,4477.jpg,0
LEVOTHYROXINE SODIUM,4569.jpg,0
LEVOTHYROXINE SODIUM,4658.jpg,0
LEVOTHYROXINE SODIUM,4774.jpg,0
LEVOTHYROXINE SODIUM,48.jpg,0
LEVOTHYROXINE SODIUM,4862.jpg,0
LEVOTHYROXINE SODIUM,4864.jpg,0
LEVOTHYROXINE SODIUM,545.jpg,0
LEVOTHYROXINE SODIUM,585.jpg,0
LEVOTHYROXINE SODIUM,587.jpg,0
LEVOTHYROXINE SODIUM,677.jpg,0
LEVOTHYROXINE SODIUM,700.jpg,0
LEVOTHYROXINE SODIUM,716.jpg,0
LEVOTHYROXINE SODIUM,802.jpg,0
LEVOTHYROXINE SODIUM,839.jpg,0
LEVOTHYROXINE SODIUM,876.jpg,0
LEVOTHYROXINE SODIUM,895.jpg,0
LEVOTHYROXINE SODIUM,929.jpg,0
LEVOTHYROXINE SODIUM,974.jpg,0
LEVOTHYROXINE SODIUM,986.jpg,0
LEVOTHYROXINE SODIUM,00378-1800-01_PART_1_OF_1_CHAL10_SB_6823B45D.jpg,0
LEVOTHYROXINE SODIUM,00378-1800-01_PART_1_OF_1_CHAL10_SF_6823B45D.jpg,0
LEVOTHYROXINE SODIUM,00378-1803-01_PART_1_OF_1_CHAL10_SB_2A23950C.jpg,0
LEVOTHYROXINE SODIUM,00378-1803-01_PART_1_OF_1_CHAL10_SF_2A23950C.jpg,0
LEVOTHYROXINE SODIUM,00378-1807-01_PART_1_OF_1_CHAL10_SB_1A238D5C.jpg,0
LEVOTHYROXINE SODIUM,00378-1807-01_PART_1_OF_1_CHAL10_SF_1A238D5C.jpg,0
LEVOTHYROXINE SODIUM,00378-1809-01_PART_1_OF_1_CHAL10_SB_5623AB5D.jpg,0
LEVOTHYROXINE SODIUM,00378-1809-01_PART_1_OF_1_CHAL10_SF_5623AB5D.jpg,0
LEVOTHYROXINE SODIUM,00378-1811-01_PART_1_OF_1_CHAL10_SB_5123A8BD.jpg,0
LEVOTHYROXINE SODIUM,00378-1811-01_PART_1_OF_1_CHAL10_SF_5123A8BD.jpg,0
LEVOTHYROXINE SODIUM,00378-1813-01_PART_1_OF_1_CHAL10_SB_4823A43D.jpg,0
LEVOTHYROXINE SODIUM,00378-1813-01_PART_1_OF_1_CHAL10_SF_4823A43D.jpg,0
LEVOTHYROXINE SODIUM,00378-1815-01_PART_1_OF_1_CHAL10_SB_4423A22D.jpg,0
LEVOTHYROXINE SODIUM,00378-1815-01_PART_1_OF_1_CHAL10_SF_4423A22D.jpg,0
LEVOTHYROXINE SODIUM,00378-1819-01_PART_1_OF_1_CHAL10_SB_3F239FBC.jpg,0
LEVOTHYROXINE SODIUM,00378-1819-01_PART_1_OF_1_CHAL10_SF_3F239FBC.jpg,0
LEVOTHYROXINE SODIUM,00378-1821-01_PART_1_OF_1_CHAL10_SB_4D23A6AD.jpg,0
LEVOTHYROXINE SODIUM,00378-1821-01_PART_1_OF_1_CHAL10_SF_4D23A6AD.jpg,0
LEVOTHYROXINE SODIUM,00378-1823-01_PART_1_OF_1_CHAL10_SB_D723EBAF.jpg,0
LEVOTHYROXINE SODIUM,00378-1823-01_PART_1_OF_1_CHAL10_SF_D723EBAF.jpg,0
LEVOTHYROXINE SODIUM,00781-5181-01_PART_1_OF_1_CHAL10_SB_6C23B66D.jpg,0
LEVOTHYROXINE SODIUM,00781-5181-01_PART_1_OF_1_CHAL10_SF_6C23B66D.jpg,0
LEVOTHYROXINE SODIUM,00781-5183-01_PART_1_OF_1_CHAL10_SB_7E23BF6D.jpg,0
LEVOTHYROXINE SODIUM,00781-5183-01_PART_1_OF_1_CHAL10_SF_7E23BF6D.jpg,0
LEVOTHYROXINE SODIUM,00781-5184-01_PART_1_OF_1_CHAL10_SB_6E21B76D.jpg,0
LEVOTHYROXINE SODIUM,00781-5184-01_PART_1_OF_1_CHAL10_SF_6E21B76D.jpg,0
LEVOTHYROXINE SODIUM,00781-5185-01_PART_1_OF_1_CHAL10_SB_8323C1DE.jpg,0
LEVOTHYROXINE SODIUM,00781-5185-01_PART_1_OF_1_CHAL10_SF_8323C1DE.jpg,0
LEVOTHYROXINE SODIUM,00781-5186-01_PART_1_OF_1_CHAL10_SB_7A23BD5D.jpg,0
LEVOTHYROXINE SODIUM,00781-5186-01_PART_1_OF_1_CHAL10_SF_7A23BD5D.jpg,0
LEVOTHYROXINE SODIUM,00781-5187-01_PART_1_OF_1_CHAL10_SB_34239A1C.jpg,0
LEVOTHYROXINE SODIUM,00781-5187-01_PART_1_OF_1_CHAL10_SF_34239A1C.jpg,0
LEVOTHYROXINE SODIUM,00781-5188-01_PART_1_OF_1_CHAL10_SB_D020E837.jpg,0
LEVOTHYROXINE SODIUM,00781-5188-01_PART_1_OF_1_CHAL10_SF_D020E837.jpg,0
LEVOTHYROXINE SODIUM,00781-5189-01_PART_1_OF_1_CHAL10_SB_7523BAED.jpg,0
LEVOTHYROXINE SODIUM,00781-5189-01_PART_1_OF_1_CHAL10_SF_7523BAED.jpg,0
LEVOTHYROXINE SODIUM,00781-5191-01_PART_1_OF_1_CHAL10_SB_CD20E6B7.jpg,0
LEVOTHYROXINE SODIUM,00781-5191-01_PART_1_OF_1_CHAL10_SF_CD20E6B7.jpg,0
LEVOTHYROXINE SODIUM,0378-1805_0_0.jpg,0
LEVOTHYROXINE SODIUM,0378-1805_0_1.jpg,0
LEVOTHYROXINE SODIUM,0781-5180_0_0.jpg,0
LEVOTHYROXINE SODIUM,0781-5180_0_1.jpg,0
LEVOTHYROXINE SODIUM,0781-5182_0_0.jpg,0
LEVOTHYROXINE SODIUM,0781-5182_0_1.jpg,0
LISINOPRIL,1310.jpg,1
LISINOPRIL,1398.jpg,1
LISINOPRIL,1405.jpg,1
LISINOPRIL,1435.jpg,1
LISINOPRIL,1442.jpg,1
LISINOPRIL,1564.jpg,1
LISINOPRIL,1573.jpg,1
LISINOPRIL,1691.jpg,1
LISINOPRIL,1904.jpg,1
LISINOPRIL,1964.jpg,1
LISINOPRIL,1973.jpg,1
LISINOPRIL,2034.jpg,1
LISINOPRIL,2075.jpg,1
LISINOPRIL,2116.jpg,1
LISINOPRIL,2145.jpg,1
LISINOPRIL,2206.jpg,1
LISINOPRIL,2419.jpg,1
LISINOPRIL,2463.jpg,1
LISINOPRIL,2610.jpg,1
LISINOPRIL,2669.jpg,1
LISINOPRIL,2899.jpg,1
LISINOPRIL,2908.jpg,1
LISINOPRIL,2975.jpg,1
LISINOPRIL,3204.jpg,1
LISINOPRIL,3206.jpg,1
LISINOPRIL,3405.jpg,1
LISINOPRIL,3453.jpg,1
LISINOPRIL,3463.jpg,1
LISINOPRIL,3481.jpg,1
LISINOPRIL,3519.jpg,1
LISINOPRIL,361.jpg,1
LISINOPRIL,3679.jpg,1
LISINOPRIL,3684.jpg,1
LISINOPRIL,3805.jpg,1
LISINOPRIL,3986.jpg,1
LISINOPRIL,4012.jpg,1
LISINOPRIL,4332.jpg,1
LISINOPRIL,436.jpg,1
LISINOPRIL,4611.jpg,1
LISINOPRIL,4655.jpg,1
LISINOPRIL,4790.jpg,1
LISINOPRIL,4811.jpg,1
LISINOPRIL,4825.jpg,1
LISINOPRIL,4835.jpg,1
LISINOPRIL,4878.jpg,1
LISINOPRIL,4902.jpg,1
LISINOPRIL,62.jpg,1
LISINOPRIL,668.jpg,1
LISINOPRIL,767.jpg,1
LISINOPRIL,784.jpg,1
LISINOPRIL,00143-1268-01_PART_1_OF_1_CHAL10_SB_7321B9DD.jpg,1
LISINOPRIL,00143-1268-01_PART_1_OF_1_CHAL10_SF_7321B9DD.jpg,1
LISINOPRIL,00172-3757-60_PART_1_OF_1_CHAL10_SB_56202B31.jpg,1
LISINOPRIL,00172-3757-60_PART_1_OF_1_CHAL10_SB_FC2CFE07.jpg,1
LISINOPRIL,00172-3757-60_PART_1_OF_1_CHAL10_SF_56202B31.jpg,1
LISINOPRIL,00172-3757-60_PART_1_OF_1_CHAL10_SF_FC2CFE07.jpg,1
LISINOPRIL,00172-3761-60_PART_1_OF_1_CHAL10_SB_0E2D0708.jpg,1
LISINOPRIL,00172-3761-60_PART_1_OF_1_CHAL10_SB_5226A915.jpg,1
LISINOPRIL,00172-3761-60_PART_1_OF_1_CHAL10_SF_0E2D0708.jpg,1
LISINOPRIL,00172-3761-60_PART_1_OF_1_CHAL10_SF_5226A915.jpg,1
LISINOPRIL,00172-3762-60_PART_1_OF_1_CHAL10_SB_0B2D85FC.jpg,1
LISINOPRIL,00172-3762-60_PART_1_OF_1_CHAL10_SB_8B21C5AE.jpg,1
LISINOPRIL,00172-3762-60_PART_1_OF_1_CHAL10_SF_0B2D85FC.jpg,1
LISINOPRIL,00172-3762-60_PART_1_OF_1_CHAL10_SF_8B21C5AE.jpg,1
LISINOPRIL,00378-2072-01_PART_1_OF_1_CHAL10_SB_8621435A.jpg,1
LISINOPRIL,00378-2072-01_PART_1_OF_1_CHAL10_SF_8621435A.jpg,1
LISINOPRIL,00378-2073-01_PART_1_OF_1_CHAL10_SB_C523E2AF.jpg,1
LISINOPRIL,00378-2073-01_PART_1_OF_1_CHAL10_SF_C523E2AF.jpg,1
LISINOPRIL,00378-2074-01_PART_1_OF_1_CHAL10_SB_8B2145CA.jpg,1
LISINOPRIL,00378-2074-01_PART_1_OF_1_CHAL10_SF_8B2145CA.jpg,1
LISINOPRIL,00378-2076-01_PART_1_OF_1_CHAL10_SB_5A23AD6D.jpg,1
LISINOPRIL,00378-2076-01_PART_1_OF_1_CHAL10_SF_5A23AD6D.jpg,1
